Type of road user,Year,Condition,Value
Lorry drivers,2018,Deaths,1167
Lorry drivers,2018,Injuries,1472
Lorry drivers,2019,Deaths,1253
Lorry drivers,2019,Injuries,1657
Taxi/Bus drivers,2000,Deaths,10
Taxi/Bus drivers,2000,Injuries,105
Taxi/Bus drivers,2001,Deaths,8
Taxi/Bus drivers,2001,Injuries,120
Taxi/Bus drivers,2002,Deaths,16
Taxi/Bus drivers,2002,Injuries,121
Taxi/Bus drivers,2003,Deaths,14
Taxi/Bus drivers,2003,Injuries,106
Taxi/Bus drivers,2004,Deaths,69
Taxi/Bus drivers,2004,Injuries,512
Taxi/Bus drivers,2005,Deaths,19
Taxi/Bus drivers,2005,Injuries,87
Taxi/Bus drivers,2006,Deaths,65
Taxi/Bus drivers,2006,Injuries,265
Taxi/Bus drivers,2007,Deaths,63
Taxi/Bus drivers,2007,Injuries,239
Taxi/Bus drivers,2008,Deaths,69
Taxi/Bus drivers,2008,Injuries,246
Taxi/Bus drivers,2009,Deaths,45
Taxi/Bus drivers,2009,Injuries,214
Taxi/Bus drivers,2010,Deaths,77
Taxi/Bus drivers,2010,Injuries,227
Taxi/Bus drivers,2011,Deaths,29
Taxi/Bus drivers,2011,Injuries,49
Taxi/Bus drivers,2012,Deaths,13
Taxi/Bus drivers,2012,Injuries,27
Taxi/Bus drivers,2013,Deaths,56
Taxi/Bus drivers,2013,Injuries,94
Taxi/Bus drivers,2014,Deaths,73
Taxi/Bus drivers,2014,Injuries,127
Taxi/Bus drivers,2015,Deaths,4203
Taxi/Bus drivers,2015,Injuries,7518
Taxi/Bus drivers,2016,Deaths,4485
Taxi/Bus drivers,2016,Injuries,8069
Taxi/Bus drivers,2017,Deaths,4348
Taxi/Bus drivers,2017,Injuries,6369
Taxi/Bus drivers,2018,Deaths,4128
Taxi/Bus drivers,2018,Injuries,5685
Taxi/Bus drivers,2019,Deaths,3959
Taxi/Bus drivers,2019,Injuries,6037
Motorcyclists,2000,Deaths,3118
Motorcyclists,2000,Injuries,30109
Motorcyclists,2001,Deaths,2971
Motorcyclists,2001,Injuries,30348
Motorcyclists,2002,Deaths,3034
Motorcyclists,2002,Injuries,29201
Motorcyclists,2003,Deaths,3166
Motorcyclists,2003,Injuries,30832
Motorcyclists,2004,Deaths,3500
Motorcyclists,2004,Injuries,35727
Motorcyclists,2005,Deaths,3181
Motorcyclists,2005,Injuries,27445
Motorcyclists,2006,Deaths,3243
Motorcyclists,2006,Injuries,16151
Motorcyclists,2007,Deaths,3197
Motorcyclists,2007,Injuries,14954
Motorcyclists,2008,Deaths,3459
Motorcyclists,2008,Injuries,14074
Motorcyclists,2009,Deaths,3633
Motorcyclists,2009,Injuries,13539
Motorcyclists,2010,Deaths,3614
Motorcyclists,2010,Injuries,12112
Motorcyclists,2011,Deaths,3713
Motorcyclists,2011,Injuries,10424
Motorcyclists,2012,Deaths,3751
Motorcyclists,2012,Injuries,9764
Motorcyclists,2013,Deaths,3875
Motorcyclists,2013,Injuries,7385
Motorcyclists,2014,Deaths,3780
Motorcyclists,2014,Injuries,7649
Motorcyclists,2015,Deaths,71
Motorcyclists,2015,Injuries,171
Motorcyclists,2016,Deaths,65
Motorcyclists,2016,Injuries,111
Motorcyclists,2017,Deaths,62
Motorcyclists,2017,Injuries,159
Motorcyclists,2018,Deaths,47
Motorcyclists,2018,Injuries,106
Motorcyclists,2019,Deaths,55
Motorcyclists,2019,Injuries,115
Pillion riders,2000,Deaths,401
Pillion riders,2000,Injuries,3542
Pillion riders,2001,Deaths,398
Pillion riders,2001,Injuries,3279
Pillion riders,2002,Deaths,395
Pillion riders,2002,Injuries,3450
Pillion riders,2003,Deaths,382
Pillion riders,2003,Injuries,3416
Pillion riders,2004,Deaths,399
Pillion riders,2004,Injuries,3704
Pillion riders,2005,Deaths,410
Pillion riders,2005,Injuries,3777
Pillion riders,2006,Deaths,450
Pillion riders,2006,Injuries,2567
Pillion riders,2007,Deaths,449
Pillion riders,2007,Injuries,2675
Pillion riders,2008,Deaths,439
Pillion riders,2008,Injuries,2527
Pillion riders,2009,Deaths,434
Pillion riders,2009,Injuries,2264
Pillion riders,2010,Deaths,422
Pillion riders,2010,Injuries,1936
Pillion riders,2011,Deaths,456
Pillion riders,2011,Injuries,1647
Pillion riders,2012,Deaths,427
Pillion riders,2012,Injuries,1543
Pillion riders,2013,Deaths,419
Pillion riders,2013,Injuries,1015
Pillion riders,2014,Deaths,399
Pillion riders,2014,Injuries,982
Pillion riders,2015,Deaths,107
Pillion riders,2015,Injuries,148
Pillion riders,2016,Deaths,123
Pillion riders,2016,Injuries,118
Pillion riders,2017,Deaths,162
Pillion riders,2017,Injuries,111
Pillion riders,2018,Deaths,122
Pillion riders,2018,Injuries,99
Pillion riders,2019,Deaths,107
Pillion riders,2019,Injuries,94
Passengers,2000,Deaths,742
Passengers,2000,Injuries,4490
Passengers,2001,Deaths,797
Passengers,2001,Injuries,4712
Passengers,2002,Deaths,729
Passengers,2002,Injuries,4445
Passengers,2003,Deaths,827
Passengers,2003,Injuries,5083
Passengers,2004,Deaths,749
Passengers,2004,Injuries,4880
Passengers,2005,Deaths,756
Passengers,2005,Injuries,4313
Passengers,2006,Deaths,794
Passengers,2006,Injuries,3283
Passengers,2007,Deaths,819
Passengers,2007,Injuries,3365
Passengers,2008,Deaths,756
Passengers,2008,Injuries,3278
Passengers,2009,Deaths,792
Passengers,2009,Injuries,2967
Passengers,2010,Deaths,152
Passengers,2010,Injuries,479
Passengers,2011,Deaths,677
Passengers,2011,Injuries,1928
Passengers,2012,Deaths,549
Passengers,2012,Injuries,2210
Passengers,2013,Deaths,689
Passengers,2013,Injuries,1287
Passengers,2014,Deaths,671
Passengers,2014,Injuries,1523
Passengers,2015,Deaths,482
Passengers,2015,Injuries,553
Passengers,2016,Deaths,511
Passengers,2016,Injuries,529
Passengers,2017,Deaths,441
Passengers,2017,Injuries,414
Passengers,2018,Deaths,407
Passengers,2018,Injuries,348
Passengers,2019,Deaths,394
Passengers,2019,Injuries,331
Others,2000,Deaths,150
Others,2000,Injuries,1276
Others,2001,Deaths,164
Others,2001,Injuries,1226
Others,2002,Deaths,146
Others,2002,Injuries,1249
Others,2003,Deaths,130
Others,2003,Injuries,1105
Others,2004,Deaths,260
Others,2004,Injuries,1952
Others,2005,Deaths,169
Others,2005,Injuries,1079
Others,2006,Deaths,93
Others,2006,Injuries,389
Others,2007,Deaths,108
Others,2007,Injuries,349
Others,2008,Deaths,85
Others,2008,Injuries,334
Others,2009,Deaths,75
Others,2009,Injuries,291
Others,2010,Deaths,166
Others,2010,Injuries,412
Others,2011,Deaths,308
Others,2011,Injuries,733
Others,2012,Deaths,147
Others,2012,Injuries,354
Others,2013,Deaths,284
Others,2013,Injuries,547
Others,2014,Deaths,161
Others,2014,Injuries,227
Others,2015,Deaths,112
Others,2015,Injuries,179
Others,2016,Deaths,122
Others,2016,Injuries,170
Others,2017,Deaths,123
Others,2017,Injuries,227
Others,2018,Deaths,94
Others,2018,Injuries,191
Others,2019,Deaths,108
Others,2019,Injuries,246
